BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5,CI1 – Idioma Inglês,CI2 – Data de publicação (qualquer),CI3 – peer reviewed,CI4 – Disponível para download,CI5 – Assunto bots conversacionais,CI6 – Assunto engenharia de software,CE1 – Estudo duplicado,CE2 – Já existe replicação mais recente,CE3 – Bots não conversacionais,,,,
7,,SantosPerez2013,"Santos-Perez, Marcos; Gonzalez-Parada, Eva; Cano-garcia, Jose M.",Mobile embodied conversational agent for task specific applications,IEEE Transactions on Consumer Electronics,59,3,August,61o-614,2013,,,,,,,,,,,,,,,,"In the recent years major efforts have been made to promote the use of virtual assistants on mobile devices. But in most cases these assistants can only manage a limited and predetermined set of applications. Other limitation that makes difficult the adoption of this technology is the need for a data connection. Thus, this paper introduces the use of an Embodied Conversational Agent (ECA) as an assistant for task-specific applications. The proposed ECA is based on open-source components and runs entirely on the mobile device. The system design was validated by conducting tests to measure the latency and energy consumption.",,Energy consumption;Home automation;Mobile communication;Wireless LAN;Libraries;Performance evaluation;Engines;Embodied Conversational Agents;NaturalLanguage Interaction;Home Automation;Control Systems,,,,,,,,,,,,,,,
6,,SantosPerez2013a,"Santos-Pérez, Marcos; González-Parada, Eva; Cano-García, José Manuel",ECA-based control interface on Android for home automation system,,,,Jan,70-71,2013,,,,2013 IEEE International Conference on Consumer Electronics (ICCE),,,,,,,,,,,,"Historically, Embodied Conversational Agents (ECAs) have been used as virtual assistants that make easier the access to information or help in performing complex tasks. Due to their high computational requirements ECAs are usually run on desktop computers, but with the recent development of hand-held devices both in hardware and software, it becames neccessary to move ECAs to that new mobile scenario. Thus, we propose an open-source based platform for developing ECA based interfaces on Android-equipped devices. We also present a prototype for controlling a home automation system.",,Home automation;Prototypes;Libraries;Engines;Speech;Automatic speech recognition,,,,,,,,,,,,,,,
10,,Saukonoja2008,"Saukonoja, T.; Pasanen, T. A.",Texas Hold'em game server for AI-developers,"Proceedings of CGAMES 2008 - 13th International Conference on Computer Games: AI, Animation, Mobile, Educational and Serious Games",,,,27-29,2008,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906971984&partnerID=40&md5=bd069f25afada88241da3f6f85ffac92,,,,,,,,,,,,,This paper describes the architecture of our general open source game server. The game server comes with a builtin Texas Hold'em poker plug-in which also includes an AI-interface to help AI-developers to build their own poker bots. © 2008 The University of Wolverhampton.,,,,,,,,,,,,,,,,,
6,,SavaryLeblanc2019,"Savary-Leblanc, Maxime",Improving MBSE Tools UX with AI-Empowered Software Assistants,,,,Sep.,648-652,2019,,,,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),,,,,,,,,,,,"Model Based Software Engineering (MBSE) consists in applying Model-Based Engineering principles - mostly abstraction and automation - to software engineering practices. As concluded by several empirical studies during the past 10 years, applying MBSE methodology is no more a question and we shall now wonder how to do it rather than if we should. One of the major criticisms of MBSE remains about the available tooling to apply its methodology. Multiple surveys show that the usability of tools and the lack of skills from the user are two key barriers that still slow down the spread of the MBSE approach. In the meantime, these surveys also highlight the difficulties software engineers often encounter during the modeling activity itself, regardless of the tool. Indeed, complex operations such as problem-to-model mapping, consistency checking or error identification are still often manually performed by humans. The recent advances in AIs introduced new software-based systems able to interact with their users to help them in their daily life. The purpose of this PhD is to investigate how such AIs (which we will call software assistants) could help software engineers to face the complexity of software modeling. Interactions between software assistants and users of MBSE tools will be the bulk of this work. We plan to implement software assistants and provide them an access to a high-quality knowledge repository on models that we will build to study these interactions. Based on these studies, we hope to contribute laying the foundations of interactions with software assistants. The end result will feature a knowledge repository and a Software Assistant acting together to help users modeling by catering for new ideas, recommendations and help. This work will also provide frameworks to create knowledge repositories and IDE-embedded software assistants.",,Model-Driven Engineering;Modeling tools;Digital Assistants;Artificial Intelligence,,,,,,,,,,,,,,,
7,,Schatten2017,"Schatten, M.; Okreaša Ðurić, B.; Tomičič, I.; Ivkovič, N.",Automated MMORPG testing – An agent-based approach,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10349 LNCS,,,359-363,2017,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021755847&doi=10.1007%2f978-3-319-59930-4_38&partnerID=40&md5=c6c0f4d52654563a36a8d3f20e624ccd,,,,,,,,,,,,,"A work-in-progress agent-based framework for automated testing of an open-source massively multi-player on-line role playing game (MMORPG) called The Mana World is presented. The implemented system, in its current state, allows for model-driven development of tests using a graphical user interface (GUI), implementation of automated artificial players (bots) and their use in testing the quests (player tasks) of the game. The system is implemented using Python, SPADE, SWI Prolog and AToM3. © Springer International Publishing AG 2017.",,,,,,,,,,,,,,,,,
7,,Schatten2017a,"Schatten, M.; Okreša Ðurić, B.; Tomičić, I.; Ivković, N.",Agents as bots – An initial attempt towards model-driven MMORPG gameplay,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10349 LNCS,,,246-258,2017,,cited By 2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021712181&doi=10.1007%2f978-3-319-59930-4_20&partnerID=40&md5=8495bf650b2a062fb70bddfe88893903,,,,,,,,,,,,,"Massively multi-player on-line role-playing games (MMO-RPGs) present a large-scale, digital environment that fosters organizational behaviour of players in which multi-agent systems (MASs) can be used for various purposes including but not limited to automated testing, bot detection or analysis of social player behaviour and human – artificial agent interaction. A work-in-progress model-driven MAS development environment for such games is presented. An open-source MMORPG called The Mana World (TMW) is used as an example scenario on which the various components of the system are tested. © Springer International Publishing AG 2017.",,,,,,,,,,,,,,,,,
6,,Schrimpsher2009,"Schrimpsher, Dan; Etzkorn, Letha",An empirical quality model for web service ontologies to support mobile devices,,,,Oct,447-450,2009,,,,2009 3rd International Symposium on Empirical Software Engineering and Measurement,,,,,,,,,,,,"As Web services and the semantic Web become more important, enabling technologies such as Web service ontologies will grow larger. The ability of mobile devices, such as cell phones and PDAs, to download and reason across them will be severely limited. Given that an agent on a mobile device only needs a subset of what is described in a Web service ontology, an ontology sub-graph can be created. In this paper, we develop a empirical software engineering approach to build a prediction model to measure the quality in terms of correct query handling of ontology sub-graphs relative to the original ontology - mean average recall of the sub-graph compared to the original ontology is used as the quality standard. Our metrics allow speedy selection of a sub-graph for use by a mobile device.",,Web services;Ontologies;Semantic Web;Cellular phones;Personal digital assistants;Software engineering;Predictive models;Software measurement;Measurement standards;Software standards,,,,,,,,,,,,,,,
10,,Sedoc2018,"Sedoc, J.; Ippolito, D.; Kirubarajan, A.; Thirani, J.; Ungar, L.; Callison-Burch, C.",ChatEval: A tool for the systematic evaluation of chatbots,"2IS and NLG 2018 - Workshop on Intelligent Interactive Systems and Language Generation, Proceedings of the Workshop",,,,42-44,2018,,cited By 4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082478318&partnerID=40&md5=c5d48ceba0332d1e658aed2fa5697c73,,,,,,,,,,,,,"Open-domain dialog systems are difficult to evaluate. The current best practice for analyzing and comparing these dialog systems is the use of human judgments. However, the lack of standardization in evaluation procedures, and the fact that model parameters and code are rarely published hinder systematic human evaluation experiments. We introduce a unified framework for human evaluation of chatbots that augments existing chatbot tools, and provides a web-based hub for researchers to share and compare their dialog systems. Researchers can submit their trained models to the ChatEval web interface and obtain comparisons with baselines and prior work. The evaluation code is open-source to ensure evaluation is performed in a standardized and transparent way. In addition, we introduce open-source baseline models and evaluation datasets. ChatEval can be found at https://chateval.org. © 2018 Association for Computational Linguistics",,,,,,,,,,,,,,,,,
10,,Sedoc2019,"Sedoc, J.; Ippolito, D.; Kirubarajan, A.; Thirani, J.; Ungar, L.; Callison-Burch, C.",ChatEval: A tool for chatbot evaluation,NAACL HLT 2019 - 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies - Proceedings of the Demonstrations Session,,,,60-65,2019,,cited By 8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085639195&partnerID=40&md5=41ee9092e7f3dca580ee057fb4607d44,,,,,,,,,,,,,"Open-domain dialog systems (i.e., chatbots) are difficult to evaluate. The current best practice for analyzing and comparing these dialog systems is the use of human judgments. However, the lack of standardization in evaluation procedures, and the fact that model parameters and code are rarely published hinder systematic human evaluation experiments. We introduce a unified framework for human evaluation of chatbots that augments existing tools and provides a web-based hub for researchers to share and compare their dialog systems. Researchers can submit their trained models to the ChatEval web interface and obtain comparisons with baselines and prior work. The evaluation code is open-source to ensure standardization and transparency. In addition, we introduce open-source baseline models and evaluation datasets. ChatEval can be found at https://chateval.org. © 2019 The Association for Computational Linguistics.",,,,,,,,,,,,,,,,,
7,,Seffah2004,"Seffah, A.; Forbrig, P.; Javahery, H.","Multi-devices ""multiple"" user interfaces: Development models and research opportunities",Journal of Systems and Software,73,2,,287-300,2004,,cited By 29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3242716013&doi=10.1016%2fj.jss.2003.09.017&partnerID=40&md5=7ee7652cb212a67317d6e8025d6b1ab8,,,,,,,,,,,,,"Today, Internet-based appliances can allow a user to interact with the server-side services and information using different kinds of computing platforms including traditional office desktops, palmtops, as well as a large variety of wireless devices including mobile telephones, Personal Digital Assistants, and Pocket Computers. This technological context imposes new challenges in user interface software engineering, as it must run on different computing platforms accommodating the capabilities of various devices and the different contexts of use. Challenges are triggered also because of the universal access requirements for a diversity of users. The existing approaches of designing a single user interface using one computing platform do not adequately address the challenges of diversity, cross-platform consistency, universal accessibility and integration. Therefore, there is an urgent need for a new integrative framework for modeling, designing and evaluating multi-device user interfaces for the emerging generation of interactive systems. This paper begins by describing a set of constraints and characteristics intrinsic to multi-device user interfaces, and then by examining the impacts of these constraints on the specification, design and validation processes. Then, it discusses the research opportunities in important topics relevant to multi-device user interface development, including task and model-based, pattern-driven and device-independent development. We will highlight how research in these topics can contribute to the emergence of an integrative framework for Multiple-User Interface design and validation. © 2003 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,
6,9781450341448,Seneviratne2016,"Seneviratne, Oshani; Kagal, Lalana; Sambra, Andrei",Session Details: Developers Track,,,,,,2016,"Republic and Canton of Geneva, CHE",,,Proceedings of the 25th International Conference Companion on World Wide Web,,,WWW '16 Companion,,International World Wide Web Conferences Steering Committee,,,,,,,"It is our great pleasure to welcome you to the rebooted Developers Day, at with WWW 2016.The success of the World Wide Web depends on its developers. From Hypertext and Web Browsers to the APIs that extend the capabilities of the Web, developers have played a very important role in making the Web as ubiquitous as it is today. To celebrate this great driving force behind the Web, we have rebooted the Developers Day at the World Wide Web Conference.The presenters at Developers Day are developers who have interesting open-source software to showcase to the Web developer community. The submissions that were accepted for presentation clearly showed an innovative use of technology, a potential to advance the state of the art of the Web, and a real-world application of the software. Some of the presentations include social bots, Web-based payment protocols, collaborative web environments, tracking changes in large knowledge organization systems, and testing frameworks suited for the Web. All of these topics are timely and are of interest to the general Web developer community.The program for the Developers Day consists of a round of lightning talks followed by Birds of a Feather (BoF) sessions where attendees are able to get an in-depth look at the software presented in the form of a hands-on tutorial as well as a discussion of open challenges, next steps, and application areas. We believe that such developer discourse is essential for the advancement of the Web.",,,,,,,,,,,,,,,,,
6,,Seyff2004,"Seyff, N.; Grunbacher, P.; Maiden, N.; Tosar, A.",Requirements engineering tools go mobile,,,,May,713-714,2004,,,,Proceedings. 26th International Conference on Software Engineering,,,,,,,,,,,,"Software tools that support or automate software engineering tasks are typically available on traditional desktop-based workstations. In contrast, mobile tools for requirements engineers offer considerable potential. In the last few years the capabilities of mobile devices such as personal digital assistants (PDAs) have advanced considerably. These devices now provide faster processing, increased storage, and improved connectivity. Hence, mobile computing will become a dominant computing paradigm. These developments let us envision mobile tools for RE that are sophisticated enough to be used in real-world projects.",,Personal digital assistants;Software engineering;Systems engineering and theory;Audio recording;Design engineering;Design automation;Human computer interaction;Software tools;Workstations;Engineering management,,,,,,,,,,,,,,,
6,,Seyff2004a,"Seyff, N.",Collaborative tools for mobile requirements acquisition,,,,Sep.,426-429,2004,,,,"Proceedings. 19th International Conference on Automated Software Engineering, 2004.",,,,,,,,,,,,"Conventional software tools that automate or support requirements engineering (RE) activities are typically available on traditional desktop-based workstations. The advancing capabilities of mobile devices significantly enhance the scope of automating RE activities. The vision of the proposed research is to design, implement, and evaluate mobile RE tools that automate and support mobile, collaborative requirements acquisition and negotiation activities. This work describes the pursued research approach and presents results achieved so far.",,Collaborative tools;Mobile computing;Collaborative work;Personal digital assistants;Systems engineering and theory;Automation;Software tools;Workstations;Collaboration;Embedded software,,,,,,,,,,,,,,,
6,1595931112,Shanks2005,"Shanks, Bayle",WikiGateway: A Library for Interoperability and Accelerated Wiki Development,,,,,53–66,2005,"New York, NY, USA",,https://doi.org/10.1145/1104973.1104979,Proceedings of the 2005 International Symposium on Wikis,,,WikiSym '05,,Association for Computing Machinery,,,,,,,"WikiGateway is an open-source suite of tools for automated interaction with wikis:• Python and Perl modules with functions like getPage, putPage, getRecentChanges, and more.• A mechanism to add DAV, Atom, or XMLRPC capabilities to any supported wiki server.• A command-line tool with functionality similar to the Perl and Python modules.• Demo applications built on top of these tools include a wiki copy command, a spam-cleaning bot, and a tool to recursively upload text files inside a directory structure as wiki pages.All WikiGateway tools are compatible with a number of different wiki engines. Developers can use WikiGateway to hide the differences between wiki engines and build applications which interoperate with many different wiki engines.",,"WikiRPCInterface, client-side wiki, WikiClient, middleware, WebDAV, wiki XMLRPC, interwiki, atom, wiki, interoperability, WikiGateway",,,,,,,,,,,,,,,
6,,Shanthi2015,"Shanthi, K.; Seenivasan, D.",Detection of botnet by analyzing network traffic flow characteristics using open source tools,,,,Jan,1-5,2015,,,,2015 IEEE 9th International Conference on Intelligent Systems and Control (ISCO),,,,,,,,,,,,"Botnets are emerging as the most serious cyber threat among different forms of malware. Today botnets have been facilitating to launch many cybercriminal activities like DDoS, click fraud, phishing attacks etc. The main purpose of botnet is to perform massive financial threat. Many large organizations, banks and social networks became the target of bot masters. Botnets can also be leased to motivate the cybercriminal activities. Recently several researches and many efforts have been carried out to detect bot, C&C channels and bot masters. Ultimately bot maters also strengthen their activities through sophisticated techniques. Many botnet detection techniques are based on payload analysis. Most of these techniques are inefficient for encrypted C&C channels. In this paper we explore different categories of botnet and propose a detection methodology to classify bot host from the normal host by analyzing traffic flow characteristics based on time intervals instead of payload inspection. Due to that it is possible to detect botnet activity even encrypted C&C channels are used.",,Telecommunication traffic;Servers;Mobile communication;Payloads;Bluetooth;IP networks;Conferences;Bot;Bot master;Botnet;Botnet cloud;Mobile Botnet,,,,,,,,,,,,,,,
7,,Shanthini2020,"Shanthini, A.; Rao, C. P.; Vadivu, G.",AI BOT: An Intelligent Personal Assistant,Lecture Notes on Data Engineering and Communications Technologies,31,,,552-559,2020,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083666431&doi=10.1007%2f978-3-030-24643-3_66&partnerID=40&md5=b0c073e3ea4c405a184998941b1d45cf,,,,,,,,,,,,,"Intelligent Personal Assistants (IPA) such as Google’s Assistant, Apple’s Siri and Microsoft’s Cortana excels in their natural language user interface. Still there is a need for single bundled IPA with multi-functionalities is increasing day by day. This paper presents the design and development of an artificial Intelligent personal assistant (AIPA), an open end-to-end web service application which receives queries in the form of voice and text and responds with natural language. The paper emphasizes on the implementation of different ways of interacting with a personal assistant and incorporating various functionalities which aren’t found in any of the existing virtual assistants with the help of several AI algorithms and open-source tools. Understanding context is important for any AI and increase in the context leads to the effective handling of open-ended requests. Unlike commercial products, this AI bot uses open ended requests than specific tasks to provide multifunctional to artificial brain. © Springer Nature Switzerland AG 2020.",,,,,,,,,,,,,,,,,
6,,Sharma2019,"Sharma, Vibhu Saujanya; Mehra, Rohit; Kaulgud, Vikrant; Podder, Sanjay","A Smart Advisor for Software Delivery - A Bot Framework for Awareness, Alerts and Advice",,,,May,22-23,2019,,,,2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering (BotSE),,,,,,,,,,,,"Software engineers typically rely on mental models of their project and peers for project-specific insights important to their work. Ever expanding software size and complexity makes it strenuous to maintain such mental models and leads to subjectivity. At the same time, consistent peer interactions lead to interrupts, thereby hampering productivity. Moreover, due to client mandates, typical project environments employ a plethora of heterogeneous tools, thus making the information retrieval process fairly complex. We believe that 'digital coworkers' leveraging Human-AI collaboration, have huge potential here to help out with such challenges. In this paper, we introduce the concept of Smart Advisor, an intelligence augmentation bot that employs domain and knowledge modeling and in-process analytics to automatically provide important insights (alerts and advice) and answer queries (awareness), using a conversational and interactive user interface.",,"Software;Cognitive science;Software engineering;Tools;Information retrieval;Bot (Internet);User interfaces;Intelligence Augmentation, Software Delivery Bot, Knowledge Modeling, Data Exhaust, Digital Coworker",,,,,,,,,,,,,,,
7,,Shenoy2019,"Shenoy, A.; Sushma Ravindra, Y.; Sharma, A.; Rajan, A.; Gv, A.",NLP models behind RASA stack,International Journal of Engineering and Advanced Technology,8,5 Special Issue,,62-66,2019,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069544023&partnerID=40&md5=761878214fea60154deb5936103cae48,,,,,,,,,,,,,"This paper brings about the foundation of a platform for conversational AI the Rasa platform. This Rasa stack contains a block of open source machine learning tools exclusively used in intend to create a contextual chatbots and assistants. The services hold by this platform undergoes a major classification of powerful APIs and embedded together with Rasa stack which includes Rasa core and Rasa NLU in the form of an event stream discussed throughout this paper and also the algorithm involved in building upon this platform. Its ingredients include the Bag of words algorithm helping in simplifying representation used in the NLP, CRFs – Conditional Random Field used in statistical modelling and machine learning platforms and also advanced technology such as LTSM neural networks. This paper discusses all the algorithms involved in building up the platform and also the result produced in building up the student assistant chatbot using this platform. It also encourages the use of this RASA platform for the user required custom format as per their requirements and also promotes to contribute in developing the platform for better efficiency of the platform to function. © BEIESP.",,,,,,,,,,,,,,,,,
7,,Shetty2020,"Shetty, A.; Vashi, H.; Khambaty, A.; Dave, D.; Chitroda, J.; Khan, M.; Bhattacharjee, S.",Wi-fi-Controlled Robotic Arm Using Arduino,Lecture Notes on Data Engineering and Communications Technologies,36,,,325-333,2020,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083449943&doi=10.1007%2f978-981-15-1002-1_34&partnerID=40&md5=4e0105a627f2c7b7eba5a8419b5b4d97,,,,,,,,,,,,,"Robotics is one such field where work and research are done every day to make human life much more easy and efficient. In general, robots perform operations with an outside user, with a preexisting set of commands or a person controlling the bot. Robotics and specifically robotic arms are present in almost every field in this world. Robotics arm comes under the medical industry, defense sector, and also under the mechatronics field of engineering. This paper is an overview of how we can control a robotic arm using servomotors and interfacing it with an android app using a Wi-fi module. Arduino Uno is used to program the servos, and the android app is built using the MIT App Inventor which is open-source software. © 2020, Springer Nature Singapore Pte Ltd.",,,,,,,,,,,,,,,,,
7,,Shihab2021,"Shihab, Emad; Wagner, Stefan; Aur\'{e}lio Gerosa, Marco",Summary of the 2nd International Workshop on Bots in Software Engineering (BotSE 2020),SIGSOFT Softw. Eng. Notes,46,1,February,20–22,2021,"New York, NY, USA",,https://doi.org/10.1145/3437479.3437484,,,,,,Association for Computing Machinery,,,,,,,"Bots automate many tasks in software engineering projects often in the form of chatbots. Bots have been proposed, for example, for testing, maintenance, or automating bug fixes. Following the success of the first BotSE workshop, we organized this second edition collocated with ICSE 2020 to bring together the research community that investigates bots for software engineering. Specifically, the workshop's goal was to share experiences and challenges, discuss new types of bots, and map out future directions. The workshop program comprised the presentation of 8 papers and 2 keynotes, followed by extensive discussion. Overall, the community matured by discussing how to design, build, and evaluate bots. The community aims to organise a 3rd edition of the workshop. Website: http://botse.org/",,,,,,,,,,,,,,,,,
7,,Shruthi2019,"Shruthi, C. M.; Satya Sai Srinath, N. G. N. V. V.; Vamsi, G. V.; Sudheer, A. P.; Joy, M. L.",Android based control of transmission line robot for traversing through straight line and crossing of tower junctions,International Journal of Innovative Technology and Exploring Engineering,8,6,,1505-1510,2019,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066836115&partnerID=40&md5=1825a42f6a713806b5647c42b6c1afb2,,,,,,,,,,,,,"The most widely used means to transmit electricity is through transmission lines. These power lines are prone to problems with adverse weather conditions prevailing in different locations. Workers climb the poles and manually check if any faults occur in power lines and this makes their lives riskier. It also interrupts the power supply. A robot based inspection makes this task easier, efficient, foolproof and safe. Android based control is one of the simple and powerful methodologies due to the availability of smart phones. Also android is an open source platform which has software with lot of applications for online and offline operations. This paper mainly concentrates on an Android based control of a dual arm suspended type mobile robot for tension and suspension towers. Methodology of crossing and description of the robot model are also explained in this paper. The communication in android based control of robot is done through a mobile application. Control of the main subsystems such as mobile robot base, pulley system and dual arm is established using the smart phone application named ‘Bot Controller’ developed using MIT App Inventor which communicates with the Arduino Mega using Bluetooth module. All the tasks are controlled using corresponding buttons in the application interface. The communication between the onboard electronics and the user is taken care by the MIT App Inventor where multiple functions corresponding to various motion of robot are created. Speed and direction of rotation of each and every motor have been given as functions for motions. Complete control flow architecture with all hardware are also depicted. © BEIESP.",,,,,,,,,,,,,,,,,
7,,SilveiraColissi2021,"da Silveira Colissi, M.; Vieira, R.; Mascardi, V.; Bordini, R. H.",A Chatbot that Uses a Multi-agent Organization to Support Collaborative Learning,Communications in Computer and Information Science,1421,,,31-38,2021,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112075007&doi=10.1007%2f978-3-030-78645-8_4&partnerID=40&md5=59b2ae79e511d8863e74d880c0812e9e,,,,,,,,,,,,,"This work investigates and apply the use of a multi-agent system to assist in the coordination of group tasks, specifically in educational environments, in which the interaction occurs indirectly, that is, asynchronously. The system has a web interface integrated with a chatbot for more natural interaction. The chatbot communicates with the multi-agent system that is responsible for the organization of the group, that is, it contains information about the tasks and members of the groups, in addition to restrictions that can be imposed according to the organization of the group, and it is also able to return the requested information in natural language through the chatbot. This approach was validated in a practical undergraduate course of software engineering. The students assessed the functionalities and usability of the system while working in groups in order to develop software collaboratively. Our system was used to assist students in a real project. With this assessment, it was found that the system was able to support the development of the group tasks, ensuring quick and consistent responses to the student’s request. © 2021, Springer Nature Switzerland AG.",,,,,,,,,,,,,,,,,
7,,Silverman2006,"Silverman, Barry G.; Bharathy, Gnana; O'Brien, Kevin; Cornwell, Jason",Human Behavior Models for Agents in Simulators and Games: Part II: Gamebot Engineering with PMFserv,Presence,15,2,April,163-185,2006,,,,,,,,,,,,,,,,"Many producers and consumers of legacy training simulator and game environments are beginning to envision a new era where psycho-socio-physiologic models could be interoperated to enhance their environments' simulation of human agents. This paper explores whether we could embed our behavior modeling framework (described in the companion paper, Part 1) behind a legacy first person shooter 3D game environment to recreate portions of the Black Hawk Down scenario. Section 1 amplifies the interoperability needs and challenges confronting the field, presents the questions that are examined, and describes the test scenario. Sections 2 and 3 review the software and knowledge engineering methodology, respectively, needed to create the system and populate it with bots. Results (Section 4) and discussion (Section 5) reveal that we were able to generate plausible and adaptive recreations of Somalian crowds, militia, women acting as shields, suicide bombers, and more. Also, there are specific lessons learned about ways to advance the field so that such interoperabilities will become more affordable and widespread.",,,,,,,,,,,,,,,,,
6,,Simud2020,"Simud, Thikamporn; Ruengittinun, Somchoke; Surasvadi, Navaporn; Sanglerdsinlapachai, Nuttapong; Plangprasopchok, Anon",A Conversational Agent for Database Query: A Use Case for Thai People Map and Analytics Platform,,,,Nov,1-6,2020,,,,2020 15th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),,,,,,,,,,,,"Since 2018, Thai People Map and Analytics Platform (TPMAP) has been developed with the aims of supporting government officials and policy makers with integrated household and community data to analyze strategic plans, implement policies and decisions to alleviate poverty. However, to acquire complex information from the platform, non-technical users with no database background have to ask a programmer or a data scientist to query data for them. Such a process is time-consuming and might result in inaccurate information retrieved due to miscommunication between non-technical and technical users. In this paper, we have developed a Thai conversational agent on top of TPMAP to support self-service data analytics on complex queries. Users can simply use natural language to fetch information from our chatbot and the query results are presented to users in easy-to-use formats such as statistics and charts. The proposed conversational agent retrieves and transforms natural language queries into query representations with relevant entities, query intentions, and output formats of the query. We employ Rasa, an open-source conversational AI engine, for agent development. The results show that our system yields Fl-score of 0.9747 for intent classification and 0.7163 for entity extraction. The obtained intents and entities are then used for query target information from a graph database. Finally, our system achieves end-to-end performance with accuracies ranging from 57.5%-80.0%, depending on query message complexity. The generated answers are then returned to users through a messaging channel.",,Data analysis;Transforms;Chatbot;Complexity theory;Visual databases;Artificial intelligence;Engines;Conversational agent;Chatbot;Data analytics;Data visualization;Poverty alleviation,,,,,,,,,,,,,,,
1,1484250338,Singh2019,"Singh, Abhishek; Ramasubramanian, Karthik; Shivam, Shrey",Building an Enterprise Chatbot: Work with Protected Enterprise Data Using Open Source Frameworks,,,,,,2019,USA,,,,,1st,,,Apress,,,,,,,"Explore the adoption of chatbots in business by focusing on the design, deployment, and continuous improvement of chatbots in a business, with a single use-case from the banking and insurance sector. This book starts by identifying the business processes in the banking and insurance industry. This involves data collection from sources such as conversations from customer service centers, online chats, emails, and other NLP sources. You'll then design the solution architecture of the chatbot. Once the architecture is framed, the author goes on to explain natural language understanding (NLU), natural language processing (NLP), and natural language generation (NLG) with examples. In the next sections, you'll design and implement the backend framework of a typical chatbot from scratch. You will also explore some popular open-source chatbot frameworks such as Dialogflow and LUIS. The authors then explain how you can integrate various third-party services and enterprise databases with the custom chatbot framework. In the final section, you'll discuss how to deploy the custom chatbot framework on the AWS cloud. By the end of Building an Enterprise Chatbot, you will be able to design and develop an enterprise-ready conversational chatbot using an open source development platform to serve the end user. What You Will Learn Identify business processes where chatbots could be used Focus on building a chatbot for one industry and one use-case rather than building a ubiquitous and generic chatbot Design the solution architecture for a chatbot Integrate chatbots with internal data sources using APIs Discover the differences between natural language understanding (NLU), natural language processing (NLP), and natural language generation (NLG) Work with deployment and continuous improvement through representational learning Who This Book Is For Data scientists and enterprise architects who are currently looking to deploy chatbot solutions to their business.",,,,,,,,,,,,,,,,,
6,,Siohan1999,"Siohan, O.; Lee, Chin-Hui; Surendran, A. C.; Li, Qi",Background model design for flexible and portable speaker verification systems,,2,,March,825-828 vol.2,1999,,,,"1999 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings. ICASSP99 (Cat. No.99CH36258)",,,,,,,,,,,,"Most state-of-the-art speaker verification systems need a user model built from samples of the customer speech, and a speaker independent (SI) background model with high acoustic resolution. These systems rely heavily on the availability of speaker independent databases along with a priori knowledge about acoustic rules of the utterance, and depend on the consistency of acoustic conditions under which the SI models were trained. These constraints may be a burden in practical and portable devices such as palm-top computers or wireless handsets which place a premium on computation and memory, and where the user is free to choose any password utterance in any language, under any acoustic condition. In this paper, we present a novel and reliable approach to background model design when only the enrollment data is available. Preliminary results are provided to demonstrate the effectiveness of such systems.",,Hidden Markov models;Loudspeakers;Acoustic devices;Personal digital assistants;Speech;Portable computers;Handheld computers;Application software;Natural languages;Databases,,,,,,,,,,,,,,,
